"id","title","A","AA","AAA","details"
"1.1.1","Non-text Content","error","error","error","{""description"":""Ensure <img> elements have alternative text or a role of none or presentation"",""impact"":""critical"",""ruleId"":""image-alt""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure every ARIA meter node has an accessible name"",""ruleId"":""aria-meter-name""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure every ARIA progressbar node has an accessible name"",""ruleId"":""aria-progressbar-name""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <input type=\""image\""> elements have alternative text"",""ruleId"":""input-image-alt""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <object> elements have alternative text"",""ruleId"":""object-alt""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure [role=\""img\""] elements have alternative text"",""ruleId"":""role-img-alt""}"
"1.1.1","Non-text Content","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text"",""ruleId"":""svg-img-alt""}"
"1.2.1","Audio-only and Video-only (Prerecorded)","pass","pass","pass",
"1.2.2","Captions (Prerecorded)","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <video> elements have captions"",""ruleId"":""video-caption""}"
"1.2.3","Audio Description or Media Alternative (Prerecorded)","pass","pass","pass",
"1.2.4","Captions (Live)",,"pass","pass",
"1.2.5","Audio Description (Prerecorded)",,"pass","pass",
"1.2.6","Sign Language (Prerecorded)",,,"pass",
"1.2.7","Extended Audio Description (Prerecorded)",,,"pass",
"1.2.8","Media Alternative (Prerecorded)",,,"pass",
"1.2.9","Audio-only (Live)",,,"pass",
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure elements with an ARIA role that require child roles contain them"",""ruleId"":""aria-required-children""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure elements with an ARIA role that require parent roles are contained by them"",""ruleId"":""aria-required-parent""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <dl> elements are structured correctly"",""ruleId"":""definition-list""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <dt> and <dd> elements are contained by a <dl>"",""ruleId"":""dlitem""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure that lists are structured correctly"",""ruleId"":""list""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <li> elements are used semantically"",""ruleId"":""listitem""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table"",""ruleId"":""td-headers-attr""}"
"1.3.1","Info and Relationships","inapplicable","inapplicable","inapplicable","{""description"":""Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe"",""ruleId"":""th-has-data-cells""}"
"1.3.2","Meaningful Sequence","pass","pass","pass",
"1.3.3","Sensory Characteristics","pass","pass","pass",
"1.3.4","Orientation",,"pass","pass",
"1.3.5","Identify Input Purpose",,"inapplicable","inapplicable","{""description"":""Ensure the autocomplete attribute is correct and suitable for the form field"",""ruleId"":""autocomplete-valid""}"
"1.3.6","Identify Purpose",,,"pass",
"1.4.1","Use of Color","pass","pass","pass",
"1.4.2","Audio Control","inapplicable","inapplicable","inapplicable","{""description"":""Ensure <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio"",""ruleId"":""no-autoplay-audio""}"
